ID,F16,F17,F18,F19,F20,F23,F24,F25
440111,1,1,1,有,有,,0,0
440112,4,2,3,有,有,坡道平面,50.29999924,2800000
440113,3,2,2,有,無,,0,0
440114,3,2,2,有,無,,0,0
440115,4,1,2,有,有,,0,0
440116,5,2,4,有,有,,0,0
440117,3,2,2,有,無,,0,0
440118,4,2,2,無,有,,0,0
440119,4,2,3,有,有,坡道平面,0,0
440120,3,2,2,有,有,,0,0
440121,3,2,2,有,有,坡道平面,19.64999962,900000
440122,4,2,2,有,有,,0,0
440123,3,1,1,有,無,,0,0
440124,3,2,2,有,有,,0,0
440125,3,2,1,有,無,,0,0
440126,0,0,0,有,無,,0,0
440127,3,2,1,有,有,,0,0
440128,4,2,2,有,有,,0,0
440129,3,2,2,有,有,,0,0
440130,4,2,2,有,有,坡道平面,12.96000004,1000000
440131,4,2,2,有,有,坡道平面,45.84999847,0
440132,4,1,2,有,無,,0,0
440133,3,2,1,有,有,坡道平面,0,0
440134,3,2,2,有,有,,0,0
440135,3,2,1,有,有,,0,0
440136,3,2,1,有,有,,0,0
440137,3,4,2,有,無,坡道平面,0,0
440138,1,1,1,有,有,,0,0
440139,3,1,1,有,有,,0,0
440140,3,2,2,有,無,,0,0
440141,3,2,2,有,有,坡道平面,19.64999962,850000
440142,3,2,3,有,有,坡道機械,19.63999939,900000
440143,4,2,2,有,有,坡道機械,19.63999939,1200000
440144,4,2,2,有,有,坡道機械,19.63999939,1150000
440145,3,2,2,有,有,坡道平面,19.64999962,800000
440146,2,1,1,有,有,,0,0
440147,2,1,1,有,有,,0,0
440148,1,1,1,有,無,,0,0
440149,4,2,2,有,有,坡道平面,0,0
440150,2,2,1,有,無,,0,0
440151,3,2,2,有,有,坡道平面,0,0
440152,5,2,3,有,無,,0,0
440153,3,2,2,有,有,,0,0
440154,2,1,1,有,有,,0,0
440155,12,3,12,有,無,,0,0
440156,3,2,2,有,無,,0,0
440157,5,3,3,有,有,一樓平面,0,0
440158,3,2,2,有,無,,0,0
440159,2,1,1,有,有,,0,0
440160,3,2,2,有,無,坡道平面,32.04000092,950000
440161,3,2,2,有,有,,0,0
440162,1,1,1,有,無,,0,0
440163,1,1,1,有,無,,0,0
440164,1,1,1,有,有,坡道平面,0,0
440165,4,2,3,有,有,,0,0
440166,2,1,1,有,有,,0,0
440167,5,2,2,有,無,,0,0
440168,1,1,1,有,有,,0,0
440169,4,2,2,有,無,,0,0
440170,3,1,1,有,無,,0,0
440171,4,2,2,有,有,,0,0
440172,4,2,2,有,有,,0,0
440173,2,1,1,有,無,,0,0
440174,21,0,3,有,無,,0,0
